request_id,feature_group,model_name,threshold_strategy,threshold,auc,f1,recall,precision,selected_threshold,selection_reason
study_train_evolution_request,topk_selected,LogisticRegression,best_f1,0.6,0.8196258138176193,0.6118122160524987,0.5377107364685004,0.7096018735362998,False,
study_train_evolution_request,topk_selected,LogisticRegression,best_f1,0.65,0.8196258138176193,0.5808189655172413,0.4782608695652174,0.7393689986282579,False,
study_train_evolution_request,topk_selected,LogisticRegression,best_f1,0.7,0.8196258138176193,0.5452475811041548,0.42502218278615794,0.7603174603174603,False,
study_train_evolution_request,topk_selected,LogisticRegression,best_f1,0.75,0.8196258138176193,0.5147324113048707,0.3797692990239574,0.7985074626865671,False,
study_train_evolution_request,topk_selected,LogisticRegression,best_f1,0.8,0.8196258138176193,0.4638977635782748,0.3220940550133097,0.8287671232876712,False,
study_train_evolution_request,topk_selected,LogisticRegression,best_f1,0.85,0.8196258138176193,0.4129993229519296,0.2706299911268855,0.8714285714285714,False,
study_train_evolution_request,topk_selected,LogisticRegression,best_f1,0.9,0.8196258138176193,0.35252309879175553,0.22005323868677906,0.8857142857142857,False,
study_train_evolution_request,topk_selected,LogisticRegression,recall_priority,0.1,0.8196258138176193,0.5043869516310461,0.9946761313220941,0.3378541289933695,False,
study_train_evolution_request,topk_selected,LogisticRegression,recall_priority,0.15,0.8196258138176193,0.5270588235294118,0.9937888198757764,0.35862952289465255,False,
study_train_evolution_request,topk_selected,LogisticRegression,recall_priority,0.2,0.8196258138176193,0.5372918175235337,0.9875776397515528,0.36903183023872677,False,
study_train_evolution_request,topk_selected,LogisticRegression,recall_priority,0.25,0.8196258138176193,0.5629667782642287,0.9698314108251996,0.396589259796807,False,
study_train_evolution_request,topk_selected,LogisticRegression,recall_priority,0.3,0.8196258138176193,0.6008708272859217,0.9183673469387755,0.44650560828300256,False,
study_train_evolution_request,topk_selected,LogisticRegression,recall_priority,0.35,0.8196258138176193,0.6228842247799594,0.8163265306122449,0.5035577449370553,False,
study_train_evolution_request,topk_selected,LogisticRegression,recall_priority,0.4,0.8196258138176193,0.6402439024390244,0.7453416149068323,0.561122244488978,True,best F1 under recall priority
study_train_evolution_request,topk_selected,LogisticRegression,recall_priority,0.45,0.8196258138176193,0.6434494195688225,0.6885536823425022,0.6038910505836576,False,
study_train_evolution_request,topk_selected,LogisticRegression,recall_priority,0.5,0.8196258138176193,0.6303084488153777,0.6255545696539485,0.6351351351351351,False,
study_train_evolution_request,topk_selected,LogisticRegression,recall_priority,0.55,0.8196258138176193,0.6265972550875533,0.5874001774622892,0.6713995943204868,False,
study_train_evolution_request,topk_selected,LogisticRegression,recall_priority,0.6,0.8196258138176193,0.6118122160524987,0.5377107364685004,0.7096018735362998,False,
study_train_evolution_request,topk_selected,LogisticRegression,recall_priority,0.65,0.8196258138176193,0.5808189655172413,0.4782608695652174,0.7393689986282579,False,
study_train_evolution_request,topk_selected,LogisticRegression,recall_priority,0.7,0.8196258138176193,0.5452475811041548,0.42502218278615794,0.7603174603174603,False,
study_train_evolution_request,topk_selected,LogisticRegression,recall_priority,0.75,0.8196258138176193,0.5147324113048707,0.3797692990239574,0.7985074626865671,False,
study_train_evolution_request,topk_selected,LogisticRegression,recall_priority,0.8,0.8196258138176193,0.4638977635782748,0.3220940550133097,0.8287671232876712,False,
study_train_evolution_request,topk_selected,LogisticRegression,recall_priority,0.85,0.8196258138176193,0.4129993229519296,0.2706299911268855,0.8714285714285714,False,
study_train_evolution_request,topk_selected,LogisticRegression,recall_priority,0.9,0.8196258138176193,0.35252309879175553,0.22005323868677906,0.8857142857142857,False,
study_train_evolution_request,topk_selected,LightGBM,default_0_5,0.5,0.844130503494462,0.6672192291753004,0.7142857142857143,0.6259720062208398,True,fixed threshold 0.5
study_train_evolution_request,topk_selected,LightGBM,best_f1,0.1,0.844130503494462,0.5360327789828875,0.9866903283052352,0.3679682329583058,False,
study_train_evolution_request,topk_selected,LightGBM,best_f1,0.15,0.844130503494462,0.5704628185127405,0.9733806566104702,0.4034571533652078,False,
study_train_evolution_request,topk_selected,LightGBM,best_f1,0.2,0.844130503494462,0.5907844212835984,0.9556344276841171,0.4275506153235411,False,
study_train_evolution_request,topk_selected,LightGBM,best_f1,0.25,0.844130503494462,0.6134110787172011,0.9334516415261757,0.45679548415110727,False,
study_train_evolution_request,topk_selected,LightGBM,best_f1,0.3,0.844130503494462,0.6331342345174473,0.8935226264418811,0.4902629016553067,False,
study_train_evolution_request,topk_selected,LightGBM,best_f1,0.35,0.844130503494462,0.6565934065934066,0.8482697426796806,0.5355742296918767,False,
study_train_evolution_request,topk_selected,LightGBM,best_f1,0.4,0.844130503494462,0.6613021214337966,0.8021295474711624,0.5625388923459863,False,
study_train_evolution_request,topk_selected,LightGBM,best_f1,0.45,0.844130503494462,0.6640716231996886,0.7568766637089619,0.5915395284327323,False,
study_train_evolution_request,topk_selected,LightGBM,best_f1,0.5,0.844130503494462,0.6672192291753004,0.7142857142857143,0.6259720062208398,True,maximized validation F1
study_train_evolution_request,topk_selected,LightGBM,best_f1,0.55,0.844130503494462,0.6604527296937417,0.6601597160603372,0.6607460035523979,False,
study_train_evolution_request,topk_selected,LightGBM,best_f1,0.6,0.844130503494462,0.6556759302873293,0.6175687666370896,0.6987951807228916,False,
study_train_evolution_request,topk_selected,LightGBM,best_f1,0.65,0.844130503494462,0.6402841197361745,0.5598935226264419,0.7476303317535545,False,
study_train_evolution_request,topk_selected,LightGBM,best_f1,0.7,0.844130503494462,0.6053059014618299,0.49600709849157054,0.7763888888888889,False,
study_train_evolution_request,topk_selected,LightGBM,best_f1,0.75,0.844130503494462,0.5689555683785343,0.43744454303460517,0.8135313531353136,False,
study_train_evolution_request,topk_selected,LightGBM,best_f1,0.8,0.844130503494462,0.525609756097561,0.3824312333629104,0.8401559454191033,False,
study_train_evolution_request,topk_selected,LightGBM,best_f1,0.85,0.844130503494462,0.45751633986928103,0.3105590062111801,0.8684863523573201,False,
study_train_evolution_request,topk_selected,LightGBM,best_f1,0.9,0.844130503494462,0.35050071530758226,0.21739130434782608,0.9040590405904059,False,
study_train_evolution_request,topk_selected,LightGBM,recall_priority,0.1,0.844130503494462,0.5360327789828875,0.9866903283052352,0.3679682329583058,False,
study_train_evolution_request,topk_selected,LightGBM,recall_priority,0.15,0.844130503494462,0.5704628185127405,0.9733806566104702,0.4034571533652078,False,
study_train_evolution_request,topk_selected,LightGBM,recall_priority,0.2,0.844130503494462,0.5907844212835984,0.9556344276841171,0.4275506153235411,False,
study_train_evolution_request,topk_selected,LightGBM,recall_priority,0.25,0.844130503494462,0.6134110787172011,0.9334516415261757,0.45679548415110727,False,
study_train_evolution_request,topk_selected,LightGBM,recall_priority,0.3,0.844130503494462,0.6331342345174473,0.8935226264418811,0.4902629016553067,False,
study_train_evolution_request,topk_selected,LightGBM,recall_priority,0.35,0.844130503494462,0.6565934065934066,0.8482697426796806,0.5355742296918767,False,
study_train_evolution_request,topk_selected,LightGBM,recall_priority,0.4,0.844130503494462,0.6613021214337966,0.8021295474711624,0.5625388923459863,False,
study_train_evolution_request,topk_selected,LightGBM,recall_priority,0.45,0.844130503494462,0.6640716231996886,0.7568766637089619,0.5915395284327323,False,
study_train_evolution_request,topk_selected,LightGBM,recall_priority,0.5,0.844130503494462,0.6672192291753004,0.7142857142857143,0.6259720062208398,True,best F1 under recall priority
